bodyType,color,condition,drive,engineDisplacement,enginePower,equipment,fuelType,mileage,modelDate,name,numberOfDoors,owners,price,productionDate,rabber,technicalPassport,vehicleTransmission
1,8,2,1,3.0,231,1,2,370000,19,530i,4,3,430000,17,0,1,1
1,1,2,2,3.0,258,1,1,138000,7,730d,4,2,1755000,6,0,1,1
2,4,2,2,3.0,306,5,2,143000,9,35i,5,3,1050000,8,1,1,1
1,4,2,1,2.0,115,1,2,200000,43,520,4,3,80000,39,0,1,2
2,1,2,2,3.0,231,1,2,255000,20,внедорожник,5,3,455000,17,0,1,1
4,5,2,1,2.5,170,1,2,289000,21,323i,2,3,450000,19,0,1,1
2,6,2,2,3.0,272,1,2,334495,13,30i,5,3,670000,12,0,1,1
1,1,2,1,2.0,190,2,1,165000,6,520d,4,3,1500000,3,0,1,1
2,1,2,2,3.0,306,2,2,92700,6,35i,5,2,2680000,4,0,1,1
1,14,2,1,2.8,184,1,2,200000,42,728i,4,2,250000,41,0,1,2
1,5,2,1,2.0,245,2,2,149000,8,328i,4,2,880000,7,0,1,1
2,1,3,2,3.0,245,1,1,63500,12,30d,5,1,1950000,7,0,1,1
2,7,2,2,2.5,218,1,2,112519,13,25i,5,2,743000,9,0,1,1
1,6,2,1,2.0,136,2,2,160000,11,318i,4,3,525000,9,0,1,1
1,5,2,1,2.0,150,1,2,161000,14,320i,4,3,460000,13,0,1,1
2,4,2,2,3.0,249,1,1,208000,5,30d,5,2,3333333,3,0,1,1
3,5,2,1,1.6,102,1,2,376000,29,316i,3,3,99900,24,0,1,2
1,3,2,1,5.0,507,1,2,164000,15,седан,4,3,1970000,11,0,1,3
2,1,2,2,3.0,249,2,1,95628,5,30d,5,2,2759000,4,0,1,1
1,1,2,1,3.0,326,1,2,195000,11,740i,4,3,800000,10,0,1,1
1,2,2,2,2.0,184,1,2,99500,8,320i,4,3,1080000,6,1,1,1
1,8,2,1,5.0,507,1,2,155459,15,седан,4,3,1500000,12,0,1,3
1,6,2,1,2.0,190,1,1,113500,6,520d,4,2,1250000,5,0,1,1
2,1,2,2,2.0,184,1,2,104883,5,20i,5,2,1317000,5,0,1,1
4,14,2,1,5.0,300,1,2,163000,30,купе,2,3,2280000,29,0,1,1
1,3,2,1,3.0,231,1,2,110000,19,530i,4,2,900000,18,1,1,1
3,6,2,1,0.6,170,1,3,20000,6,хетчбэк,5,1,2199000,2,0,1,1
2,1,2,2,3.0,286,1,1,244000,13,внедорожник,5,2,800000,11,0,1,1
1,1,3,1,1.6,136,2,2,99000,8,316i,4,3,970000,4,0,1,1
2,6,2,2,3.0,313,1,1,12504,5,40d,5,1,3800000,1,1,1,1
2,1,2,2,3.0,272,5,2,155600,13,30i,5,2,649000,11,0,1,1
2,2,2,1,2.0,150,1,2,170000,10,18i,5,3,649000,9,0,1,1
1,2,2,1,2.0,184,1,1,224000,6,520d,4,2,1079000,5,0,1,1
1,8,2,1,2.0,184,1,2,102200,8,320i,4,2,1049000,5,0,1,1
1,1,2,1,2.0,136,1,2,140000,11,318i,4,3,450000,11,1,1,1
1,2,2,1,2.0,184,2,2,144795,8,320i,4,2,1250000,6,0,1,1
3,2,2,2,2.0,184,1,2,141800,8,320i,5,2,935000,6,0,1,1
3,3,2,1,1.5,136,3,2,67000,2,118i,5,1,1489999,1,0,1,1
1,5,2,1,2.0,245,2,2,149000,8,328i,4,2,880000,7,0,1,1
2,3,2,2,3.0,245,1,1,205090,9,30d,5,3,1320000,8,0,1,1
2,1,2,2,2.0,190,1,1,37400,5,20d,5,2,2530000,2,0,1,1
2,1,3,2,3.0,231,1,2,238000,16,внедорожник,5,3,699000,14,0,1,1
4,3,2,2,3.0,313,1,1,43777,4,640d,2,3,2790777,3,0,1,1
2,2,2,2,2.0,150,1,2,281000,13,20i,5,2,670000,10,1,1,2
